Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1297036	0	0.120375298111572	0.282522253849659	0.0282741679747095	0	0.149049689629267	0	0.0737506369367456	0.0397004743230009	0	0	0.103310661975833	0.0793943670936867	0.00704526841676776	0.0153009141030771	0.0442882562914513	0.00673602421553044	0	0.0230005036319696	0.0272514834467291	0	0	0.019	0.195964469798003	1.05345272484668
GSM1297038	0	0.000250687231754594	0.252975910027019	0.138204714522771	0	0.150456727021127	0	0.0187413711849161	0.0695102745151149	0.00189188231426883	0	0	0.053357706022159	0	0.0753732808532192	0.100641319683568	0	0.0676884267001072	0	0.0310465116849787	0.0052748653369158	0.034586322902081	0.003	0.284246479531197	0.983003113553541
GSM1297040	3.9221571965968e-06	0.00364611823429548	0.269486932877953	0.0862899859758385	0	0.0175124933930206	0	0.0846114346625888	0.0811884912982097	0	0	0.0653383604223749	0.0914663533613183	0	0.0621012415521219	0.170458839746021	0.00430319077243446	0	0	0.0315998380058379	0.0233226736569644	0.00867012388382505	0.00900000000000001	0.230347913493532	1.01086858701006
GSM1297042	0	0.198507642964205	0.395927978704749	0.046138449871939	0	0.0728630188775941	0	0.0675639234095274	0.0263322201862811	0	0	0.0777078883218099	0.0296118763017065	0	0	0.0313638451310095	0	0.00507858843415944	0.0424670304793168	0	0	0.00643753731770196	0	0.428526348735301	0.95788607856505
GSM1297044	0	0	0.311284766475165	0.0877247476334532	0	0.00370373308752738	0	0.0382319549115038	0.0807726670324706	0	0	0.0181100072028061	0.0694472838027051	0	0.141178576364308	0.109187320270785	0.070099429749211	0	0.0345850294275026	0	0.034809184577176	0.000865299465385603	0.002	0.30542952433755	0.982472734447095
GSM1297046	0	0.0447280823609575	0.265308709861935	0.0980273917241397	0	0.0757970495263331	0	0.0665331312408295	0.0591027054640298	0	0	0.0387822880963775	0.0943183640293102	0.0070921092687651	0.0469170291778506	0.0476215688331862	0.00147072083699952	0.0254777901899169	0.0555711789503074	0.0344629710501958	0	0.0387889093888664	0.003	0.260488268731439	0.997270044520135
GSM1297050	0	0.0188340850707474	0.303967102029277	0.0728417210956565	0	0	0	0.0656372102655028	0.106241606143836	0	0	0.0505450136728595	0.0350583348229617	0	0.104402818353694	0.14852588265294	0	0	0.0631601937964343	0	0.0307860320960909	0	0.00700000000000001	0.242351126150841	1.01650597196124
GSM1297052	0	0.0178128156281429	0.192881602281475	0.0218712778347858	0	0.127073186005353	0	0	0.0368655721657812	0	0	0.0231575843609852	0.0483250943851598	0.0447142334598908	0.0759151395417322	0.264966445074396	0.0708133287508774	0	0	0.0646038462974082	0	0.0109998742140115	0.119	0.114884303297819	1.04422754200284
GSM1297054	0	0.111406942948519	0.0664793683494098	0.178552868197988	0	0.00316366831090969	0.0297097004339022	0.109923482541128	0.0516932660432316	0	0	0.0684977425321598	0.099179359684334	0.0128666776805914	0.0752501301979426	0.0898712151774948	0	0	0.103405577902389	0	0	0	0.649	0.015423211751389	1.07929057422243
GSM1297056	0	0.0318833780471589	0.275159321769379	0.0554976194365221	0	0.12138522777111	0.0257251289959878	0.0181728901680141	0.00861330029832432	0	0	0.0427806931946857	0.042463414567747	0.00577857510331088	0.0373817814944486	0.0948949328912575	0.0562055299588853	0	0.158655349221635	0	0.0219583362835047	0.00344452079802909	0	0.3866137198224	0.928251312970541
GSM1297058	0	0.161279431039407	0.190566458762198	0.0164526245338295	0	0.176671441224501	0	0.000240438936358051	0.0442660936504488	0	0	0.0433818943077134	0.0911963542126592	0.0377666688770671	0.0072355369071982	0.147614280038817	0	0	0.0152866652832681	0.0417756206800801	0	0.0262664915464548	0.179	0.0945714274885902	1.06781377773725
GSM1297060	0	0.0571612431576876	0.291420739422508	0.0178131749463666	0	0.110277265013445	0	0	0.0727325218425352	0	0	0.0390188628585967	0.131603575146721	0.030134734754841	0.0154309024853449	0.0769025450749562	0.0526774280303539	0	0	0.104827007266643	0	0	0.031	0.174714872072865	1.04765582908971
GSM1297062	0	0	0.286101360959286	0.0528078122287651	0	0.0641513353854183	0	0.0387960807692553	0.0803208461395779	0	0	0.0754103734468924	0.118558660829699	0	0.0274407900547708	0.113318360728347	0	0.0164051348700329	0.126689244587955	0	0	0	0.012	0.21031424547934	1.02157593459094
GSM1297064	0	0.0102796431377093	0.176725441358174	0.239732511590175	0	0	0.127688900013718	0.0270603802933112	0.0288709893764726	0	0	0.0458900840021616	0.046279370867513	0	0.123805224222175	0.0985221889844066	0.0110609905195166	0	0.0598414536037507	0	0	0.00424282203091609	0.003	0.265863938151312	0.983899402110066
GSM1297068	0	0.0109897706921772	0.358336159892469	0.110890710084415	0	0.054121838243208	0.018833371314609	0.0122994239424088	0.046111016311996	0	0	0.026863202080043	0.075782006341916	0	0.0332719152108961	0.15810239583544	0.00488816988075514	0	0.0810379828295648	0	0.00847203734010182	0	0.004	0.249651145219343	1.02439757427623
GSM1297070	0	0	0.184114495380807	0	0	0.286188243449838	0	0	0.0441708918432448	0	0.0140458715636845	0.0133428030966571	0.0730645088865019	0.00613913833451708	0.0725992389829386	0.182086779345298	0	0	0.0691450954725236	0.016428969441912	0.0117360037909137	0.0269379604111646	0.115	0.117202353594698	1.03981302780536
GSM1297074	0	0	0.370838340969305	0.0926031264890217	0	0.0331464552461155	0	0.0352661431233453	0.0603732214340978	0	0	0.0652687793866705	0.076373164682109	0.00462688366414399	0.0143557813334961	0.16866565812568	0.00180183265091128	0	0.045250202245944	0	0.0314304106491597	0	0.00800000000000001	0.237583450573915	1.03668491278152
GSM1297076	0	0.114690235825286	0.172654143447001	0.000179958388223531	0.0046963979623128	0.12127317602992	0	0	0.0592622882817169	0	0	0.0636049015935278	0.195464832634505	0.0878392687873752	0.0140565491394782	0.0322315442421641	0	0.0111141315905157	0.122319901888069	0	0.000612670189905003	0	0.338	0.0589402392725717	1.06833029399037
GSM1297078	0	0.0685117028413756	0.0597369714240193	0.10573721206001	0	0	0	0.0348206795548165	0.0374846361022801	0	0	0.00127922818382368	0.254495297307978	0.0321543856201284	0.0245320608780678	0.12934311736319	0.0590021523532581	0.018071705659215	0.0484966334297002	0	0.126334217222137	0	0.386	0.0492683367082239	1.0478928536257
GSM1297084	0	0.140699235140995	0.138742370869993	0.049221540546974	0.00707244257703888	0.0792795812240107	0	0.033344444957304	0	0	0	0.0680223178584555	0.0976987236659195	0	0.0311678881398778	0.0601518554420064	0.106336630716076	0	0	0.165187027668582	0	0.0230759411927677	0.027	0.182423337756772	1.0190952484111
GSM1297086	0	0.0265287006635339	0.452533133247746	0.055499078877252	0	0.055572023650399	0	0.00103983040714572	0.0312903470807102	0.0106298157031394	0	0.0229662196859914	0.0492213633151498	0	0.0875907402311337	0.122363429794379	0.0262324677617932	0	0.0397451448681626	0.00556761448395672	0	0.0132200902295068	0	0.369202817213176	0.99064527724388
GSM1297088	0	0.0568163937102377	0.410930410736427	0.0829518900009067	0	0.00322733738032026	0.111985572412497	0.0828939419035625	0	0	0.0125047107867342	0.0369596672538519	0.0703476719402826	0	0.0621771388612166	0.000597754315620656	0	0.0300617021360705	0.0370167738787535	0	0	0.00152903468351902	0	0.355280264536927	0.990407336388628
